version  Base  ; amo of opts  100000000 ; num tr  1 ; counts  7; min time 17.6807 seconds
version  fp  ; amo of opts  100000000 ; num tr  1 ; counts  7; min time 15.1211 seconds
version  erf  ; amo of opts  100000000 ; num tr  1 ; counts  7; min time 5.41454 seconds
version  restrict  ; amo of opts  100000000 ; num tr  1 ; counts  7; min time 0.730946 seconds
version  vector  ; amo of opts  100000000 ; num tr  1 ; counts  7; min time 0.732678 seconds
version  invsqrt2_1  ; amo of opts  100000000 ; num tr  1 ; counts  7; min time 0.738967 seconds
version  invsqrt2_2  ; amo of opts  100000000 ; num tr  1 ; counts  7; min time 5.57017 seconds
--------------------------------------------------------------------------------
version  7 ; amo of opts  100000000 ; num tr  1 ; counts  7; min time 0.789542 seconds
version  7 ; amo of opts  100000000 ; num tr  2 ; counts  7; min time 0.363219 seconds
version  7 ; amo of opts  100000000 ; num tr  4 ; counts  7; min time 0.179488 seconds
version  7 ; amo of opts  100000000 ; num tr  8 ; counts  7; min time 0.0914209 seconds
version  7 ; amo of opts  100000000 ; num tr  16 ; counts  7; min time 0.0467579 seconds
version  7 ; amo of opts  100000000 ; num tr  20 ; counts  7; min time 0.0378568 seconds
version  7 ; amo of opts  100000000 ; num tr  40 ; counts  7; min time 0.019309 seconds
version  7 ; amo of opts  100000000 ; num tr  80 ; counts  7; min time 0.0196609 seconds
version  8 ; amo of opts  100000000 ; num tr  1 ; counts  7; min time 0.784622 seconds
version  8 ; amo of opts  100000000 ; num tr  2 ; counts  7; min time 0.356531 seconds
version  8 ; amo of opts  100000000 ; num tr  4 ; counts  7; min time 0.177076 seconds
version  8 ; amo of opts  100000000 ; num tr  8 ; counts  7; min time 0.0901871 seconds
version  8 ; amo of opts  100000000 ; num tr  16 ; counts  7; min time 0.0460989 seconds
version  8 ; amo of opts  100000000 ; num tr  20 ; counts  7; min time 0.0375922 seconds
version  8 ; amo of opts  100000000 ; num tr  40 ; counts  7; min time 0.0191059 seconds
version  8 ; amo of opts  100000000 ; num tr  80 ; counts  7; min time 0.018497 seconds
--------------------------------------------------------------------------------
