version  Base  ; amo of opts  100000000 ; num tr  1 ; counts  7; min time 17.7519 seconds
version  fp  ; amo of opts  100000000 ; num tr  1 ; counts  7; min time 15.1368 seconds
version  erf  ; amo of opts  100000000 ; num tr  1 ; counts  7; min time 5.40264 seconds
version  restrict  ; amo of opts  100000000 ; num tr  1 ; counts  7; min time 0.581032 seconds
version  vector  ; amo of opts  100000000 ; num tr  1 ; counts  7; min time 0.583023 seconds
version  invsqrt2_1  ; amo of opts  100000000 ; num tr  1 ; counts  7; min time 0.583904 seconds
version  invsqrt2_2  ; amo of opts  100000000 ; num tr  1 ; counts  7; min time 5.06883 seconds
--------------------------------------------------------------------------------
version  7 ; amo of opts  100000000 ; num tr  1 ; counts  7; min time 0.504613 seconds
version  7 ; amo of opts  100000000 ; num tr  2 ; counts  7; min time 0.255313 seconds
version  7 ; amo of opts  100000000 ; num tr  4 ; counts  7; min time 0.127659 seconds
version  7 ; amo of opts  100000000 ; num tr  8 ; counts  7; min time 0.0640938 seconds
version  7 ; amo of opts  100000000 ; num tr  16 ; counts  7; min time 0.035759 seconds
version  7 ; amo of opts  100000000 ; num tr  20 ; counts  7; min time 0.0354531 seconds
version  7 ; amo of opts  100000000 ; num tr  40 ; counts  7; min time 0.019151 seconds
version  7 ; amo of opts  100000000 ; num tr  80 ; counts  7; min time 0.0194678 seconds
version  8 ; amo of opts  100000000 ; num tr  1 ; counts  7; min time 0.540891 seconds
version  8 ; amo of opts  100000000 ; num tr  2 ; counts  7; min time 0.267346 seconds
version  8 ; amo of opts  100000000 ; num tr  4 ; counts  7; min time 0.135157 seconds
version  8 ; amo of opts  100000000 ; num tr  8 ; counts  7; min time 0.0678949 seconds
version  8 ; amo of opts  100000000 ; num tr  16 ; counts  7; min time 0.0375249 seconds
version  8 ; amo of opts  100000000 ; num tr  20 ; counts  7; min time 0.036772 seconds
version  8 ; amo of opts  100000000 ; num tr  40 ; counts  7; min time 0.0188851 seconds
version  8 ; amo of opts  100000000 ; num tr  80 ; counts  7; min time 0.0187209 seconds
--------------------------------------------------------------------------------
